,Language,Word Entropy,hemisphere,model,time,subject,accuracy
258,French,High,Right,Phoneme_onset,0,sub-028,-8.118183310146776e-07
259,French,High,Left,Phoneme_onset,0,sub-028,-5.340561509909094e-07
260,French,High,Right,Surprisal,0,sub-028,-4.642286848797517e-06
261,French,High,Left,Surprisal,0,sub-028,-6.156002906310487e-06
262,French,High,Right,Entropy,0,sub-028,-1.0252405682813775e-05
263,French,High,Left,Entropy,0,sub-028,-6.305016885599013e-06
264,French,High,Right,Phoneme_onset,0,sub-029,-1.7863981971980675e-06
265,French,High,Left,Phoneme_onset,0,sub-029,-1.0598161793290115e-06
266,French,High,Right,Surprisal,0,sub-029,-5.543116117371578e-07
267,French,High,Left,Surprisal,0,sub-029,-2.064611148975212e-07
268,French,High,Right,Entropy,0,sub-029,-6.637081089938841e-06
269,French,High,Left,Entropy,0,sub-029,-5.540237219368061e-06
270,French,High,Right,Phoneme_onset,0,sub-030,5.022988649235199e-07
271,French,High,Left,Phoneme_onset,0,sub-030,-2.2654040000476965e-06
272,French,High,Right,Surprisal,0,sub-030,-1.1588941008135294e-06
273,French,High,Left,Surprisal,0,sub-030,-3.642433639725331e-06
274,French,High,Right,Entropy,0,sub-030,-7.143687502831219e-06
275,French,High,Left,Entropy,0,sub-030,-5.45764571011631e-06
276,French,High,Right,Phoneme_onset,0,sub-032,-3.1607288734999228e-06
277,French,High,Left,Phoneme_onset,0,sub-032,7.867503051878531e-07
278,French,High,Right,Surprisal,0,sub-032,-3.954877095312934e-06
279,French,High,Left,Surprisal,0,sub-032,-2.3247102368376815e-06
280,French,High,Right,Entropy,0,sub-032,-5.881401710432981e-06
281,French,High,Left,Entropy,0,sub-032,-7.116398049852692e-06
282,French,High,Right,Phoneme_onset,0,sub-033,-3.432418264019596e-06
283,French,High,Left,Phoneme_onset,0,sub-033,-2.222649135830793e-06
284,French,High,Right,Surprisal,0,sub-033,-4.139326286343975e-06
285,French,High,Left,Surprisal,0,sub-033,-7.326251969954785e-06
286,French,High,Right,Entropy,0,sub-033,-8.485255565220273e-06
287,French,High,Left,Entropy,0,sub-033,-9.805119029900064e-06
288,Dutch,Low,Right,Phoneme_onset,0,sub-001,-4.877546115004307e-07
289,Dutch,Low,Left,Phoneme_onset,0,sub-001,-1.007562834468402e-06
290,Dutch,Low,Right,Surprisal,0,sub-001,-1.4765076408483566e-06
291,Dutch,Low,Left,Surprisal,0,sub-001,-4.6782340942610705e-06
292,Dutch,Low,Right,Entropy,0,sub-001,-4.432167967439221e-06
293,Dutch,Low,Left,Entropy,0,sub-001,-4.640521777232527e-06
294,Dutch,Low,Right,Phoneme_onset,0,sub-003,1.331226389372654e-06
295,Dutch,Low,Left,Phoneme_onset,0,sub-003,-1.8408351426424394e-06
296,Dutch,Low,Right,Surprisal,0,sub-003,-5.202633674440502e-07
297,Dutch,Low,Left,Surprisal,0,sub-003,-1.0720070278208167e-06
298,Dutch,Low,Right,Entropy,0,sub-003,-7.528047606776024e-06
299,Dutch,Low,Left,Entropy,0,sub-003,-3.9060372707327795e-06
300,Dutch,Low,Right,Phoneme_onset,0,sub-004,-1.73075137130769e-06
301,Dutch,Low,Left,Phoneme_onset,0,sub-004,-3.033436471952316e-07
302,Dutch,Low,Right,Surprisal,0,sub-004,-2.934097234932548e-06
303,Dutch,Low,Left,Surprisal,0,sub-004,-3.230710900540858e-06
304,Dutch,Low,Right,Entropy,0,sub-004,-8.966713160219974e-06
305,Dutch,Low,Left,Entropy,0,sub-004,-4.905477189257999e-06
306,Dutch,Low,Right,Phoneme_onset,0,sub-008,-1.342163422459079e-06
307,Dutch,Low,Left,Phoneme_onset,0,sub-008,2.903495934927637e-08
308,Dutch,Low,Right,Surprisal,0,sub-008,-1.7472969778158112e-06
309,Dutch,Low,Left,Surprisal,0,sub-008,-1.6796878271072996e-06
310,Dutch,Low,Right,Entropy,0,sub-008,-9.761404332386869e-06
311,Dutch,Low,Left,Entropy,0,sub-008,-4.72968839212965e-06
312,Dutch,Low,Right,Phoneme_onset,0,sub-009,-1.8020635430672566e-06
313,Dutch,Low,Left,Phoneme_onset,0,sub-009,1.86480781694765e-06
