phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
H,74.6,74.69,réduire,74.32,74.9
i,74.69,74.87,réduire,74.32,74.9
R,74.87,74.9,réduire,74.32,74.9
l,75.04,75.09,les,75.04,75.31
e,75.09,75.17,les,75.04,75.31
z,75.17,75.31,les,75.04,75.31
i,75.31,75.39,inégalités,75.31,76.11
n,75.39,75.43,inégalités,75.31,76.11
e,75.43,75.54,inégalités,75.31,76.11
g,75.54,75.62,inégalités,75.31,76.11
a,75.62,75.76,inégalités,75.31,76.11
l,75.76,75.79,inégalités,75.31,76.11
i,75.79,75.92,inégalités,75.31,76.11
t,75.92,75.98,inégalités,75.31,76.11
e,75.98,76.11,inégalités,75.31,76.11
d,76.11,76.15,de,76.11,76.15
l,76.26,76.32,la,76.26,76.43
a,76.32,76.43,la,76.26,76.43
s,76.43,76.56,surface,76.43,77.14
y,76.56,76.62,surface,76.43,77.14
R,76.62,76.73,surface,76.43,77.14
f,76.73,76.83,surface,76.43,77.14
a,76.83,76.99,surface,76.43,77.14
s,76.99,77.14,surface,76.43,77.14
s,77.49,77.59,située,77.49,78.05499
i,77.59,77.75,située,77.49,78.05499
t,77.75,77.81,située,77.49,78.05499
y,77.81,77.95,située,77.49,78.05499
e,77.95,78.05499,située,77.49,78.05499
o,78.05499,78.27998,au-dessous,78.05499,78.91
d,78.27998,78.37,au-dessous,78.05499,78.91
@,78.37,78.45,au-dessous,78.05499,78.91
s,78.45,78.63,au-dessous,78.05499,78.91
u,78.63,78.91,au-dessous,78.05499,78.91
a,79.09,79.27,à,79.09,79.27
e~,79.27,79.38,un,79.27,79.38
n,79.38,79.43,niveau,79.38,79.81
i,79.43,79.55,niveau,79.38,79.81
v,79.55,79.63,niveau,79.38,79.81
o,79.63,79.81,niveau,79.38,79.81
p,79.81,79.84,presque,79.81,80.28
R,79.84,79.91,presque,79.81,80.28
E,79.91,80.0,presque,79.81,80.28
s,80.0,80.13,presque,79.81,80.28
k,80.13,80.18,presque,79.81,80.28
@,80.18,80.28,presque,79.81,80.28
