phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
l;178.09;178.12;le;178.09;178.15;4.40913978;3.75526016;16953.5;5.260125;637;1;14.04929552
@;178.12;178.15;le;178.09;178.15;0.225805434;0.827806902;16953.5;5.260125;637;1;14.04929552
v;178.15;178.21;vêtement;178.15;178.5;4.40913978;4.287664674;3.84;4.778471;638;-1;1.941106311
E;178.21;178.27;vêtement;178.15;178.5;0.427622993;7.094035737;3.84;4.778471;638;-1;1.941106311
t;178.27;178.38;vêtement;178.15;178.5;0.007571122;2.089348413;3.84;4.778471;638;-1;1.941106311
m;178.38;178.41;vêtement;178.15;178.5;0.002581576;0.449178105;3.84;4.778471;638;-1;1.941106311
a~;178.41;178.5;vêtement;178.15;178.5;0.002477405;0.3985066;3.84;4.778471;638;-1;1.941106311
d;178.5;178.53;du;178.5;178.63;4.40913978;3.516593851;4394.7;4.6113853;639;-1;12.10154897
y;178.53;178.63;du;178.5;178.63;0.316459001;7.978437985;4394.7;4.6113853;639;-1;12.10154897
S;178.63;178.77;chasseur;178.63;179.26;4.40913978;6.628288652;21.27;3.3076153;640;-1;4.410748128
a;178.77;178.83;chasseur;178.63;179.26;0.065709543;3.103105305;21.27;3.3076153;640;-1;4.410748128
s;178.83;179;chasseur;178.63;179.26;0.009993948;3.50535826;21.27;3.3076153;640;-1;4.410748128
9;179;179.2;chasseur;178.63;179.26;0.001746289;1.754647872;21.27;3.3076153;640;-1;4.410748128
R;179.2;179.26;chasseur;178.63;179.26;0.001257673;1.252573513;21.27;3.3076153;640;-1;4.410748128
p;179.6;179.63;puis;179.6;179.73;4.40913978;3.530081653;531.94;5.3213677;641;1;9.055119716
H;179.63;179.7;puis;179.6;179.73;0.311131064;7.655393076;531.94;5.3213677;641;1;9.055119716
i;179.7;179.73;puis;179.6;179.73;0.00329849;0.265845628;531.94;5.3213677;641;1;9.055119716
s;179.73;179.86;ce;179.73;179.92;4.40913978;3.649530069;7958.35;4.414223;642;-1;12.95825363
@;179.86;179.92;ce;179.73;179.92;0.279602377;3.156702399;7958.35;4.414223;642;-1;12.95825363
d;179.92;179.99;dernier;179.92;180.26;4.40913978;3.516593851;177.11;6.131878;643;1;7.468501862
E;179.99;180.06;dernier;179.92;180.26;0.316459001;5.001925846;177.11;6.131878;643;1;7.468501862
R;180.06;180.13;dernier;179.92;180.26;0.012502659;0.768988211;177.11;6.131878;643;1;7.468501862
n;180.13;180.19;dernier;179.92;180.26;0.00824355;0.661795049;177.11;6.131878;643;1;7.468501862
j;180.19;180.23;dernier;179.92;180.26;0.005840315;0.273226442;177.11;6.131878;643;1;7.468501862
e;180.23;180.26;dernier;179.92;180.26;0.005572693;2.028917472;177.11;6.131878;643;1;7.468501862
R;180.26;180.31;rentra;180.26;180.65;4.40913978;5.400144139;1.11;3.5700006;644;-1;0.150559677
a~;180.31;180.46;rentra;180.26;180.65;0.095372902;2.803010467;1.11;3.5700006;644;-1;0.150559677
t;180.46;180.51;rentra;180.26;180.65;0.012996376;2.077707421;1.11;3.5700006;644;-1;0.150559677
R;180.51;180.62;rentra;180.26;180.65;0.003724855;0.235804472;1.11;3.5700006;644;-1;0.150559677
a;180.62;180.65;rentra;180.26;180.65;0.003082047;6.404395003;1.11;3.5700006;644;-1;0.150559677
o;180.65;180.77;au;180.65;180.77;4.40913978;6.104572272;3737.75;4.641678;645;-1;11.86795436
l;180.77;180.83;logis;180.77;181.34;4.40913978;3.75526016;2.7;3.538217;646;-1;1.432959407
o;180.83;180.88;logis;180.77;181.34;0.225805434;8.560695615;2.7;3.538217;646;-1;1.432959407
Z;180.88;181.04;logis;180.77;181.34;0.002118192;2.230975723;2.7;3.538217;646;-1;1.432959407
i;181.04;181.34;logis;180.77;181.34;0.001257037;2.509922684;2.7;3.538217;646;-1;1.432959407
e;181.34;181.4;et;181.34;181.4;4.40913978;4.815820454;12909.08;6.7056947;647;1;13.65609857
l;181.4;181.43;le;181.4;181.47;4.40913978;3.75526016;16953.5;7.816772;648;1;14.04929552
@;181.43;181.47;le;181.4;181.47;0.225805434;0.827806902;16953.5;7.816772;648;1;14.04929552
f;181.47;181.59;fils;181.47;181.72;4.40913978;5.119777021;493.24;4.218;649;-1;8.946145992
