,onset,offset,words
1006,281.77,281.93,sa
1007,281.93,282.68,possession
1008,282.68,282.71,l
1009,282.71,282.83,Eau
1010,282.83,282.87,de
1011,282.87,283.04,la
1012,283.04,283.38,vie
1013,283.38,283.6,
1014,283.6,283.83,il
1015,283.83,283.92,
1016,283.92,284.03,s’en
1017,284.03,284.44,retourna
1018,284.44,284.54,donc
1019,284.54,284.75,chez
1020,284.75,284.91,lui
1021,284.91,285.0,et
1022,285.0,285.75,
1023,285.75,285.89,en
1024,285.89,286.18,route
1025,286.18,286.39,
1026,286.39,286.47,il
1027,286.47,286.96,rencontra
1028,286.96,287.0,de
1029,287.0,287.33,nouveau
1030,287.33,287.48,le
1031,287.48,287.73,nain
1032,287.73,288.62,
1033,288.62,288.75,Dès
1034,288.75,288.84,que
1035,288.84,289.35,celui-ci
1036,289.35,289.49,vit
1037,289.49,289.52,l’
1038,289.52,289.8,épée
1039,289.8,289.94,et
1040,289.94,290.15,le
1041,290.15,290.43,pain
1042,290.43,290.78,
1043,290.78,290.95,il
1044,290.95,291.37,dit
1045,291.37,292.15,
1046,292.15,292.33,Tu
1047,292.33,292.47,as
1048,292.47,292.92,gagné
1049,292.92,292.99,là
1050,292.99,293.1,un
1051,293.1,293.37,grand
1052,293.37,294.13,trésor
1053,294.13,294.48,
1054,294.48,294.74,avec
1055,294.74,294.97,cette
1056,294.97,295.32,épée
1057,295.32,295.41,tu
1058,295.41,295.56,peux
1059,295.56,296.01,combattre
1060,296.01,296.26,toute
1061,296.26,296.43,une
1062,296.43,296.96,armée
1063,296.96,297.12,
1064,297.12,297.36,quant
1065,297.36,297.44,à
1066,297.44,297.81,ce
1067,297.81,297.9,pain
1068,297.9,298.04,
1069,298.04,298.16,il
1070,298.16,298.29,ne
1071,298.29,298.59,finit
1072,298.59,299.16,jamais
1073,299.16,299.65,
1074,299.65,299.7,Le
1075,299.7,300.16,prince
1076,300.16,300.2,se
1077,300.2,300.57,dit
1078,300.57,301.63,
